Product_ID,Extraction_Date,Staples_Final_Price,Amz_Final_Price,Google_Visits,Google_Revenue,Google_Order,Google_Unique_Visitors,SC_Visits,SC_Revenue,SC_Order,SC_Unique_Visitors,Direct_Visits,Direct_Revenue,Direct_Order,Direct_Unique_Visitors
392941,2014-01-01,32.49,32.49,0,0,0,0,0,0,0,0,0,0,0,0
392941,2014-01-02,32.49,32.49,0,0,0,0,0,0,0,0,8,129.96,4,8
392941,2014-01-03,32.49,32.49,1,0,0,0,0,0,0,0,8,100.47,3,8
392941,2014-01-06,32.49,32.49,0,0,0,0,0,0,0,0,9,97.47,3,9
392941,2014-01-07,32.49,32.49,0,0,0,0,0,0,0,0,15,194.94,6,15
392941,2014-01-08,32.49,32.49,3,1,1,1,0,0,0,0,4,0,0,4
392941,2014-01-09,32.49,32.49,2,0,0,0,0,0,0,0,11,225.81,4,11
392941,2014-01-10,32.49,32.49,0,0,0,0,0,0,0,0,9,129.96,2,9
392941,2014-01-13,32.49,32.49,1,0,0,0,0,0,0,0,8,64.98,2,8
392941,2014-01-14,32.49,32.49,2,1,1,1,0,0,0,0,6,32.49,1,6
392941,2014-01-15,32.49,32.49,4,1,1,1,0,0,0,0,5,100.47,3,5
392941,2014-01-16,32.49,32.49,0,0,0,0,0,0,0,0,6,64.98,1,6
392941,2014-01-17,32.49,32.49,3,1,1,1,0,0,0,0,3,97.47,2,3
392941,2014-01-20,32.49,32.49,2,1,1,1,0,0,0,0,2,0,0,2
392941,2014-01-21,32.49,32.49,0,0,0,0,0,0,0,0,3,32.49,1,3
392941,2014-01-22,32.49,32.49,0,0,0,0,0,0,0,0,6,0,0,6
392941,2014-01-23,32.49,32.49,0,0,0,0,0,0,0,0,9,129.96,3,8
392941,2014-01-24,32.49,32.49,2,0,0,0,0,0,0,0,6,64.98,2,6
392941,2014-01-27,32.49,32.49,3,1,1,1,0,0,0,0,10,162.45,2,10
392941,2014-01-28,32.49,32.49,2,0,0,0,0,0,0,0,8,64.98,2,8
392941,2014-01-29,32.49,32.49,1,0,0,0,0,0,0,0,5,129.96,2,5
392941,2014-01-30,32.49,32.49,1,0,0,0,0,0,0,0,3,25.99,1,3
392941,2014-01-31,32.49,32.49,2,0,0,0,0,0,0,0,8,32.49,1,8
392941,2014-02-03,32.49,32.49,0,0,0,0,0,0,0,0,8,0,0,7
392941,2014-02-04,32.49,32.49,0,0,0,0,0,0,0,0,11,129.96,3,8
392941,2014-02-05,32.49,32.49,0,0,0,0,0,0,0,0,3,0,0,3
392941,2014-02-06,32.49,32.49,2,1,1,1,0,0,0,0,5,0,0,4
392941,2014-02-07,32.49,32.49,1,0,0,0,0,0,0,0,2,0,0,2
392941,2014-02-10,32.49,32.49,1,0,0,0,0,0,0,0,5,0,0,5
392941,2014-02-11,32.49,32.49,1,0,0,0,0,0,0,0,4,64.98,2,4
392941,2014-02-12,32.49,32.49,1,0,0,0,0,0,0,0,1,32.49,1,1
392941,2014-02-13,32.49,32.49,3,1,1,1,0,0,0,0,3,0,0,3
392941,2014-02-14,32.49,32.49,0,0,0,0,0,0,0,0,2,64.98,1,2
392941,2014-02-17,32.49,32.49,0,0,0,0,0,0,0,0,2,194.94,1,2
392941,2014-02-18,32.49,32.49,3,0,0,0,0,0,0,0,5,129.96,3,4
392941,2014-02-19,32.49,32.49,2,1,1,1,0,0,0,0,4,32.49,1,4
392941,2014-02-20,32.49,32.49,3,1,1,1,0,0,0,0,5,0,0,5
392941,2014-02-21,32.49,32.49,1,1,1,1,0,0,0,0,5,97.47,2,5
